Animals,Countries,Capitals,Movies,Sports,Musical Instruments,Professions,Famous Scientists,Famous Landmarks,TV Shows,Books,Famous actors
Goose,Germany,Berlin,A Beautiful Mind,,,,,,,,
Turkey,Ghana,Accra,12 Angry Men,,,,,,,,
Peacock,Greece,Athens,The Sixth Sense,,,,,,,,
Pigeon,Grenada,St. George's,The Thing,,,,,,,,
Swan,Guatemala,Guatemala City,Pan's Labyrinth,,,,,,,,
Seagull,Guinea,Conakry,The Grand Budapest Hotel,,,,,,,,
Woodpecker,Guinea-Bissau,Bissau,The Social Network,,,,,,,,
Hummingbird,Guyana,Georgetown,The Graduate,,,,,,,,
Pelican,Haiti,Port-au-Prince,The Exorcist,,,,,,,,
Toucan,Honduras,Tegucigalpa,The Truman Show,,,,,,,,
Vulture,Hungary,Budapest,Slumdog Millionaire,,,,,,,,
Komodo dragon,Iceland,Reykjavík,Donnie Darko,,,,,,,,
Iguana,India,New Delhi,Heat,,,,,,,,
Geckos,Indonesia,Jakarta,Big Fish,,,,,,,,
Jellyfish,Iran,Tehran,Amélie,,,,,,,,
Octopus,Iraq,Baghdad,The Fly,,,,,,,,
Squid,Ireland,Dublin,Life of Pi,,,,,,,,
Lobster,Israel,Jerusalem,The Elephant Man,,,,,,,,
Crab,Italy,Rome,The Others,,,,,,,,
Shrimp,Jamaica,Kingston,The Help,,,,,,,,
Starfish,Japan,Tokyo,The Maltese Falcon,,,,,,,,
Seahorse,Jordan,Amman,The Bourne Identity,,,,,,,,
Clownfish,Kazakhstan,Astana,,,,,,,,,
Salmon,Kenya,Nairobi,,,,,,,,,
Trout,Kiribati,Tarawa,,,,,,,,,
Eel,"Korea, North",Pyongyang,,,,,,,,,
Manta ray,"Korea, South",Seoul,,,,,,,,,
Stingray,Kuwait,Kuwait City,,,,,,,,,
Gorilla,Kyrgyzstan,Bishkek,,,,,,,,,
Chimpanzee,Laos,Vientiane,,,,,,,,,
Orangutan,Latvia,Riga,,,,,,,,,
Lemur,Lebanon,Beirut,,,,,,,,,
Koel,Lesotho,Lesotho,,,,,,,,,
Hedgehog,Liberia,Liberia,,,,,,,,,
Armadillo,Libya,Tripoli,,,,,,,,,
Porcupine,Liechtenstein,Vaduz,,,,,,,,,
Meerkat,Lithuania,Vilnius,,,,,,,,,
Aardvark,Luxembourg,Luxembourg,,,,,,,,,
Sloth,Madagascar,Antananarivo,,,,,,,,,
Tapir,Malawi,Lilongwe,,,,,,,,,
Ocelot,Malaysia,Kuala Lumpur,,,,,,,,,
Serval,Maldives,Malé,,,,,,,,,
Manatee,Mali,Bamako,,,,,,,,,
Narwhal,Malta,Valletta,,,,,,,,,
Walrus,Marshall Islands,Majuro,,,,,,,,,
Seal,Mauritania,Nouakchott,,,,,,,,,
Sea lion,Mauritius,Port Louis,,,,,,,,,
